Year,FIPSST,Medi_or_Behav_Treat%,Medi_Treat%,Behav_Treat%,Medi&Behav_Treat%
2019,16,61.29032258064516,48.38709677419355,40.32258064516129,27.419354838709676
2019,17,78.43137254901961,64.70588235294117,60.78431372549019,47.05882352941176
2019,18,70.96774193548387,61.29032258064516,48.38709677419355,38.70967741935484
2019,19,74.07407407407408,59.25925925925925,46.2962962962963,31.48148148148148
2019,20,66.66666666666666,61.111111111111114,33.33333333333333,27.77777777777778
2019,21,75.80645161290323,62.903225806451616,43.54838709677419,30.64516129032258
2019,22,74.0,61.0,41.0,28.000000000000004
2019,23,70.88607594936708,55.69620253164557,43.037974683544306,27.848101265822784
2019,24,80.85106382978722,65.95744680851064,55.319148936170215,40.42553191489361
2019,25,66.17647058823529,51.470588235294116,38.23529411764706,23.52941176470588
2019,26,82.35294117647058,68.62745098039215,47.05882352941176,33.33333333333333
2019,27,85.36585365853658,68.29268292682927,53.65853658536586,36.58536585365854
2019,28,74.28571428571429,68.57142857142857,34.285714285714285,28.57142857142857
2019,29,68.85245901639344,62.295081967213115,44.26229508196721,37.704918032786885
2019,30,64.70588235294117,54.90196078431373,45.09803921568628,35.294117647058826
2019,31,86.66666666666667,71.11111111111111,60.0,44.44444444444444
2019,32,65.78947368421053,42.10526315789473,50.0,26.31578947368421
2019,33,77.10843373493977,60.24096385542169,37.34939759036144,20.481927710843372
2019,34,56.14035087719298,42.10526315789473,42.10526315789473,28.07017543859649
2019,35,58.490566037735846,45.28301886792453,41.509433962264154,28.30188679245283
2019,36,72.3404255319149,46.808510638297875,53.191489361702125,27.659574468085108
2019,37,76.92307692307693,71.42857142857143,36.26373626373626,30.76923076923077
2019,38,68.08510638297872,63.829787234042556,29.78723404255319,25.53191489361702
2019,39,72.41379310344827,51.724137931034484,39.6551724137931,18.96551724137931
2019,40,70.66666666666667,68.0,45.33333333333333,42.66666666666667
2019,41,66.0377358490566,47.16981132075472,43.39622641509434,24.528301886792452
2019,42,68.96551724137932,48.275862068965516,56.896551724137936,36.206896551724135
2019,44,61.904761904761905,53.96825396825397,34.92063492063492,26.984126984126984
2019,45,79.3103448275862,65.51724137931035,47.12643678160919,33.33333333333333
2019,46,82.92682926829268,75.60975609756098,41.46341463414634,34.146341463414636
2019,47,70.0,63.33333333333333,33.33333333333333,26.666666666666668
2019,48,72.88135593220339,62.71186440677966,45.76271186440678,35.59322033898305
2019,49,56.81818181818182,36.36363636363637,31.818181818181817,11.363636363636363
2019,50,65.95744680851064,57.446808510638306,31.914893617021278,23.404255319148938
2019,51,62.745098039215684,49.01960784313725,39.21568627450981,25.49019607843137
2019,53,61.702127659574465,42.5531914893617,42.5531914893617,23.404255319148938
2019,54,63.1578947368421,55.26315789473685,32.89473684210527,25.0
2019,55,82.45614035087719,64.91228070175438,52.63157894736842,35.08771929824561
2019,56,70.45454545454545,56.81818181818182,45.45454545454545,31.818181818181817
2020,1,72.17391304347827,56.52173913043478,37.391304347826086,21.73913043478261
2020,2,66.0,54.0,48.0,36.0
2020,4,67.53246753246754,50.649350649350644,49.35064935064935,32.467532467532465
2020,5,69.6078431372549,57.84313725490197,33.33333333333333,21.568627450980394
2020,6,72.22222222222221,50.0,52.77777777777778,30.555555555555557
2020,8,59.523809523809526,42.857142857142854,39.682539682539684,23.015873015873016
2020,9,71.7948717948718,53.84615384615385,41.02564102564102,23.076923076923077
